dataset,mlp,xgboost,diff,IsolationForest_test_outliers(%)
cmc,0.53333333,0.56949153,0.03615819999999992,5.084745762711865
connect-4,0.82449674,0.84888988,0.024393140000000035,0.0
electricity,0.83715473,0.92201258,0.08485785000000001,5.009378792894186
eye_movements,0.59503352,0.68369896,0.08866543999999998,5.027422303473491
kc1,0.85371248,0.8628752,0.009162719999999958,5.213270142180095
phoneme,0.84643848,0.86907185,0.022633369999999986,4.995374653098982
pol,0.98423401,0.98277971,-0.0014543000000000195,5.007436787307883
splice,0.83510972,0.95559039,0.12048066999999996,0.0
vehicle,0.79686275,0.75490196,-0.04196078999999997,5.294117647058823
