dataset,technique,RandomForest,mlp,xgboost
cmc,IsolationForest,-0.014689269999999977,0.012429379999999934,-0.004293789999999964
cmc,LocalOutlierFactor,-0.0047457699999999825,0.005649719999999969,0.0006779599999999775
cmc,OneClassSVM,-0.004519779999999973,0.004519779999999973,-0.0038418099999999455
electricity,IsolationForest,0.00043400000000004546,0.0007208800000000348,-0.0013534899999999572
electricity,LocalOutlierFactor,-0.0009047799999999384,-0.003089479999999978,-0.004317919999999975
electricity,OneClassSVM,0.001213730000000024,0.0005222700000000469,-0.002692269999999941
eye_movements,IsolationForest,-0.0008226700000000253,-0.009079830000000011,-0.001767210000000019
eye_movements,LocalOutlierFactor,0.0018281600000000786,-0.006002439999999942,0.00018282000000002796
eye_movements,OneClassSVM,-0.004387570000000007,-0.007525899999999974,-0.008196219999999976
kc1,IsolationForest,0.004581359999999979,0.0018957299999999844,-0.00315955999999995
kc1,LocalOutlierFactor,0.0018957400000000346,0.002843600000000057,-0.0018957399999999236
kc1,OneClassSVM,-0.006477089999999963,0.005687200000000003,-0.006003160000000007
phoneme,IsolationForest,-0.00598211999999998,-0.005612080000000019,-0.0004933699999999375
phoneme,LocalOutlierFactor,-0.0057970999999999995,-0.00037001999999997093,-0.003145239999999938
phoneme,OneClassSVM,0.0015417800000000481,-0.003145229999999999,0.0030218899999999715
pol,IsolationForest,0.0002974700000000219,-0.0007932600000000178,0.0
pol,LocalOutlierFactor,-0.0022806100000000162,-0.002809449999999991,-0.000991579999999992
pol,OneClassSVM,0.000231369999999953,0.0007271500000000097,0.00016526000000005592
vehicle,IsolationForest,-0.017647059999999937,-0.03490196999999995,-0.012941179999999997
vehicle,LocalOutlierFactor,-0.014509799999999906,-0.01647058999999995,-0.006666669999999986
vehicle,OneClassSVM,0.0019607799999999953,-0.0019607899999999345,-0.0007843100000000103
