,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
Bank_Customer_Churn_Dataset,-0.0019,-0.0191,-0.0025,-0.0087,0.005,-0.019,-0.0073,-0.0116
cmc,-0.00271,-0.00745,0.01084,0.01153,-0.00814,-0.01762,0.01491,-0.00339
connect-4,0.01828,0.01828,0.01828,0.01828,0.01828,0.01828,0.01828,0.01828
credit-g,0.059,0.027,0.028,0.049,0.045,0.052,0.04,0.034
electricity,0.06245,0.06494,0.06351,0.0638,0.05998,0.0549,0.06495,0.06629
eucalyptus,0.04459,0.02432,0.02027,0.03784,0.07163,0.05541,0.0473,0.03513
eye_movements,-0.06206,-0.07221,-0.07734,-0.08062,0.05228,-0.00228,-0.0852,-0.0808
house_16H,0.01497,0.01965,0.01379,0.0172,0.02439,0.02558,0.02009,0.01513
kc1,-0.00474,-0.01042,0.00664,0.00284,0.00332,-0.01185,-0.00237,-0.00758
phoneme,0.03405,0.03331,0.02719,0.02757,0.02905,0.02646,0.02997,0.03312
splice,0.1163,0.1163,0.1163,0.1163,0.1163,0.1163,0.1163,0.1163
vehicle,-0.08588,-0.07882,-0.07882,-0.08706,-0.06,-0.06589,-0.08235,-0.08118
GAP_REDUCED,6/12,5/12,9/12,-,6/12,4/12,4/12,5/12
